NoOfEvals,IsmArexJggDoubleSphereUVr1_0_0,IsmArexJggDoubleSphereUVr1_0_1,IsmArexJggDoubleSphereUVr1_0_2,IsmArexJggDoubleSphereUVr1_0_3,IsmArexJggDoubleSphereUVr1_0_4,IsmArexJggDoubleSphereUVr1_0_5,IsmArexJggDoubleSphereUVr1_0_6,IsmArexJggDoubleSphereUVr1_0_7,IsmArexJggDoubleSphereUVr1_0_8,IsmArexJggDoubleSphereUVr1_0_9
8050,0.10283954451780043,0.10258802284628547,0.10139906518249653,0.1025266962387692,0.10242892449983834,0.10455896957051329,0.10209938256715378,0.1020789536267307,0.10228313665717188,0.10223957898337761
8550,0.10093210444974393,0.10216997063234272,0.10171969203564736,0.10109823569528224,0.10167446930014001,0.1027286955667902,0.10194783769673191,0.1019004666589639,0.10119129346731918,0.10156866692788323
9050,0.10142290028129054,0.10101912106867786,0.10077027506573444,0.1008606698521343,0.10096769023439672,0.10131568924377007,0.10138694881436072,0.10060213778297838,0.10052628506483896,0.1006026161159951
9550,0.10053295908384509,0.10047222227924923,0.10032495234312626,0.10029011317148132,0.10039869206832788,0.10070995769238025,0.1009006526640767,0.10050464776082775,0.10030877702676598,0.10030370519395834
10050,0.10055190566395907,0.10039778481277296,0.10024295953483807,0.10019029517664915,0.10008050479897175,0.10057824937679302,0.10059575755199042,0.10022485661452149,0.10007891642200512,0.10029074197786614
10550,0.10024101970367798,0.1001611615213473,0.10009306530664193,0.10004612573713019,0.10010355413605584,0.10025439192264303,0.10018579700931309,0.10015879122922547,0.10011383106215924,0.10014926825925617
11050,0.10010668238861709,0.10004794709770971,0.10006549526440744,0.10004612573713019,0.10006118119613315,0.10015618054790058,0.10013971862511113,0.10005463766890071,0.10010522291798443,0.10007794099752304
11550,0.10005631711500325,0.10004537481499297,0.10002841926811722,0.100025284498004,0.10003898683993691,0.10009006421724348,0.1000999837129124,0.10007722616518003,0.10001835787203094,0.10003297152620065
12050,0.10005309236143468,0.1000303834425931,0.10002351874951897,0.10002632330167698,0.10002309961075787,0.10002952185406946,0.10004340443616137,0.10001727406067847,0.10001998141680167,0.10002536472243677
12550,0.10001495439182118,0.10002482740057189,0.10001397578637594,0.10001232746584626,0.1000100831957109,0.1000206131440121,0.10003484331490718,0.10001727406067847,0.10001074586574289,0.10001099509016204
13050,0.10000791158446642,0.10001362332528944,0.10000750794748652,0.10000457557212558,0.10000660165932591,0.1000093248607573,0.10001524649436769,0.10000717034636232,0.10000821527184534,0.10000426870741819
13550,0.10000494327301866,0.10000561013597668,0.10000538273002345,0.100003553240978,0.10000456960062704,0.1000085695507312,0.10000866598952096,0.10000717034636232,0.10000191062180704,0.10000420584683854
14050,0.10000463337414153,0.10000304064379496,0.10000266100750341,0.10000293791119352,0.10000233416360292,0.10000520010094105,0.10000657455941027,0.10000336853946247,0.10000189704193187,0.10000259313215223
14550,0.10000124273064318,0.10000230578959043,0.10000120760676678,0.10000087849038206,0.10000165609604626,0.10000311107979673,0.10000173372012092,0.10000130502953854,0.10000080579087561,0.10000094503538137
15050,0.10000116248834502,0.10000057420087807,0.10000054706650645,0.10000072704962228,0.10000079409773867,0.10000111545899294,0.10000173372012092,0.10000101325270105,0.10000059417433523,0.1000003752187642
15550,0.10000035631247922,0.10000085680591637,0.10000023656524999,0.10000030971796768,0.10000043268457572,0.10000111545899294,0.10000095494630964,0.10000056770191396,0.10000024156328452,0.10000021865436526
16050,0.10000031547997255,0.10000032795297309,0.10000023656524999,0.10000026842718852,0.10000023090973423,0.10000042043614457,0.10000036696630175,0.10000033853433696,0.1000001553966894,0.10000022515477552
16550,0.10000018018263837,0.10000011934605249,0.10000011188729963,0.10000017143283971,0.10000016079789148,0.10000019483398084,0.10000030828659653,0.10000016001365096,0.10000006438997537,0.1000001015700128
17050,0.10000007601955249,0.10000006775733611,0.10000005116803846,0.10000005268968162,0.10000006037351954,0.10000015155461076,0.10000014407652079,0.10000010559261396,0.1000000634092945,0.1000000949869008
17550,0.10000003399254184,0.10000007265638852,0.10000002262019785,0.10000004187913016,0.10000004306818726,0.10000006743899077,0.10000015424962867,0.10000004616675949,0.10000002431350771,0.10000003054921067
18050,0.10000002162895051,0.10000004016482988,0.10000001058312788,0.1000000230544913,0.10000002525708776,0.10000004893941222,0.10000005015094894,0.10000004092121136,0.10000001943064271,0.1000000208817203
18550,0.10000001108941733,0.10000001608214977,0.10000001777698125,0.10000001027315052,0.10000000893360157,0.10000001352345246,0.10000002687328294,0.1000000194211848,0.10000000589535706,0.10000001061607622
19050,0.10000001017426752,0.10000001094134349,0.10000000412540677,0.10000000482529585,0.10000000692149949,0.10000001055939262,0.10000001049199853,0.10000001332480914,0.10000000709050536,0.10000000809793645
19550,0.10000000830562307,0.10000000672908388,0.10000000238933575,0.10000000311662596,0.1000000041481182,0.10000000945731685,0.10000000299219527,0.10000001028440329,0.10000000361909793,0.10000000423940626
20050,0.10000000467425009,0.10000000449797704,0.10000000142010383,0.10000000160345664,0.10000000325763288,0.10000000556510413,0.10000000299219527,0.10000000607747671,0.10000000181849493,0.10000000170096685
