NoOfEvals,MsArexJggDoubleSphereUV_0,MsArexJggDoubleSphereUV_1,MsArexJggDoubleSphereUV_2,MsArexJggDoubleSphereUV_3,MsArexJggDoubleSphereUV_4,MsArexJggDoubleSphereUV_5,MsArexJggDoubleSphereUV_6,MsArexJggDoubleSphereUV_7,MsArexJggDoubleSphereUV_8,MsArexJggDoubleSphereUV_9
21550,0.10000000037846583,0.10000000031987939,0.10000000055689479,0.10000000024567135,0.10000000057511421,0.10000000024803708,0.10000000022978811,0.10000000026392375,0.10000000030622389,0.1000000006051486
22050,0.10000000013294187,0.10000000012403058,0.1000000002020553,0.10000000017591756,0.10000000031550466,0.10000000022256329,0.10000000023601996,0.10000000011585643,0.1000000001383169,0.10000000032084091
22550,0.10000000008028248,0.1000000001024228,0.10000000012409767,0.10000000007697579,0.10000000008596696,0.10000000009658036,0.1000000001067035,0.10000000006111966,0.10000000005556936,0.10000000013251865
23050,0.10000000005177559,0.10000000003980482,0.10000000010869502,0.1000000000493522,0.10000000006841542,0.1000000000391908,0.1000000000495958,0.10000000002496427,0.10000000007175469,0.10000000010400256
23550,0.10000000001899124,0.10000000002685933,0.10000000002852823,0.10000000003709096,0.10000000004760112,0.10000000002987246,0.1000000000495958,0.10000000002915536,0.10000000003339807,0.1000000000280628
24050,0.10000000001846851,0.10000000000944839,0.10000000003489529,0.10000000002375915,0.10000000001948287,0.10000000001539149,0.10000000001175484,0.10000000001014282,0.10000000001663756,0.10000000003257543
24550,0.10000000000895318,0.10000000000669915,0.10000000001029338,0.10000000000860401,0.10000000001076916,0.10000000000752714,0.10000000000699111,0.10000000000761448,0.10000000000698102,0.10000000001262861
25050,0.10000000000604471,0.10000000000678158,0.10000000000458122,0.10000000000449939,0.10000000000669926,0.10000000000507134,0.10000000000690844,0.10000000000365068,0.10000000000426072,0.10000000000586345
25550,0.10000000000432131,0.10000000000391286,0.10000000000458122,0.10000000000257585,0.10000000000262695,0.10000000000216099,0.10000000000173405,0.10000000000356797,0.10000000000254428,0.10000000000427262
26050,0.10000000000201854,0.10000000000143036,0.1000000000040741,0.10000000000217303,0.10000000000194567,0.10000000000122229,0.10000000000173405,0.100000000000998,0.10000000000089121,0.10000000000178084
